N3350,Apollo Lake,Intel Celeron Processor N3350 (2M Cache up to 2.4 GHz),2,2,1.1,2.4,2,6,Intel HD Graphics 500
N4200,Apollo Lake,Intel Pentium Processor N4200 (2M Cache up to 2.5 GHz),4,4,1.1,2.5,2,6,Intel HD Graphics 505
E1-7010,Zacate,AMD E1-7010 with Radeon R2 Graphics,2,2,1.5,1.5,1,10,AMD-R2
6006U,Sky Lake,Intel Core i3-6006U Processor (3M Cache 2.00 GHz),2,4,2,0,3,15,Intel HD Graphics 520
7100U,Kaby Lake,Intel Core i3-7100U Processor (3M Cache 2.40 GHz),2,3,2.4,0,3,15,Intel HD Graphics 620
6100U,Sky Lake,Intel Core i3-6100U Processor (3M Cache 2.30 GHz),2,4,2.3,0,3,15,Intel HD Graphics 520
7200U,Kaby Lake,Intel Core i5-7200U Processor (3M Cache up to 3.10 GHz),2,4,2.5,3.1,3,15,Intel HD Graphics 620
8250U,Kaby Lake Refresh,Intel Core i5-8250U Processor (6M Cache up to 3.40 GHz),4,8,1.6,3.4,6,15,Intel HD Graphics 620
7500U,Kaby Lake,Intel Core i7-7500U Processor (4M Cache up to 3.50 GHz),2,4,2.7,3.5,4,15,Intel HD Graphics 620
8550U,Kaby Lake Refresh,Intel Core i7-8550U Processor (8M Cache up to 4.00 GHz),4,8,1.8,4,8,15,Intel HD Graphics 620
7300HQ,Kaby Lake,Intel Core i5-7300HQ Processor (6M Cache up to 3.50 GHz),4,4,2.5,3.5,6,45,Intel HD Graphics 630
7700HQ,Kaby Lake,Intel Core i7-7700HQ Processor (6M Cache up to 3.80 GHz),4,8,2.8,3.8,6,45,Intel HD Graphics 630
6820HK,Sky Lake,Intel Core i7-6820HK Processor (8M Cache up to 3.60 GHz),4,8,2.7,3.6,8,45,Intel HD Graphics 530
7820HK,Kaby Lake,Intel Core i7-7820HK Processor (8M Cache up to 3.90 GHz),4,8,2.9,3.9,8,45,Intel HD Graphics 630
N4000,Gemini Lake,Intel Celeron N4000 Processor (4M Cache up to 2.60 GHz),2,2,1.1,2.6,4,6,Intel UHD Graphics 600
A6-9225,Excavator,AMD A6-9225,2,2,2.6,3,1,15,AMD-R4
E1-6010,Puma,AMD E1-6010,2,2,1.35,0,1,10,AMD-R2
A9-9420,Excavator,AMD A9-9420,2,2,3,3.6,1,15,AMD-R5
A9-9425,Excavator,AMD A9-9425,2,2,3.1,3.7,1,15,AMD-R5
8300H,Coffee Lake,Intel Core i5-8300H Processor (8M Cache up to 4.00 GHz),4,8,2.3,4,8,45,Intel UHD Graphics 630
5005U,Broadwell,Intel Core i3-5005U Processor (3M Cache 2.00 GHz),2,4,2,0,3,10,Intel HD Graphics 5500 
8750H,Coffee Lake,Intel Core i5-8750H Processor (9M Cache up to 4.10 GHz),6,12,2.2,4.1,9,45,Intel UHD Graphics 630